DOJ Extended,Duration to accept offer,Notice period,Offered band,Percent difference CTC,Joining Bonus,Candidate relocate actual,Candidate Source,Rex in Yrs,LOB,Status
1,14,30,2,7.63,0,0,0,7,4,0
0,18,30,2,270.0,0,0,2,8,7,0
0,3,45,2,0.0,0,0,0,4,7,0
0,26,30,2,0.0,0,0,2,4,7,0
1,1,120,2,0.0,0,1,2,6,7,0
1,17,30,1,0.0,0,0,2,2,7,0
1,37,30,2,0.0,0,0,2,7,7,0
1,16,0,1,0.0,0,0,1,8,6,0
0,1,30,1,0.0,0,0,2,3,1,0
0,6,30,1,20.0,0,0,2,3,2,0
0,120,30,2,55.27,0,0,2,3,7,1
0,3,0,2,8.97,0,0,2,7,7,0
1,14,30,2,237.5,0,0,0,7,7,1
0,44,75,2,14.55,0,0,1,8,7,1
0,7,30,3,3.85,0,0,2,5,7,1
0,1,30,3,0.0,0,0,1,18,5,0
1,98,30,2,115.36,0,0,0,8,7,1
0,1,0,2,0.0,0,0,1,6,7,0
0,1,30,1,29.44,0,0,1,1,7,0
0,7,30,1,57.14,0,0,1,2,4,0
0,1,0,3,0.0,0,1,2,8,7,0
0,0,30,1,0.0,0,0,2,3,4,0
0,1,0,2,0.0,0,0,1,5,7,0
1,83,60,2,0.0,0,0,1,5,0,0
0,1,0,3,71.96,0,0,1,6,7,0
0,16,60,1,41.18,0,0,1,7,0,1
1,32,120,3,6.03,0,0,1,13,4,0
1,19,30,2,0.0,0,0,1,7,7,0
1,0,0,2,7.7,0,0,2,6,1,1
0,4,30,2,0.0,0,0,2,5,4,0
0,38,45,2,0.0,0,0,1,13,1,0
0,0,30,3,0.0,0,1,2,15,7,0
1,18,90,2,177.78,0,0,0,6,4,1
0,24,30,2,3.47,0,0,1,6,7,1
1,10,60,3,4.17,0,0,2,6,7,0
1,53,60,2,6.12,0,0,1,6,0,0
0,0,0,3,0.0,0,0,1,20,4,0
1,5,0,2,0.0,1,1,2,6,0,0
0,0,0,3,1.9,0,0,2,13,7,0
0,4,30,1,0.0,0,0,1,2,7,0
1,46,30,3,237.78,0,0,2,13,4,1
1,2,75,3,0.0,0,1,2,8,7,0
0,1,90,2,0.0,0,0,2,6,7,0
1,31,90,2,47.79,0,0,2,6,7,0
1,4,0,2,0.0,0,0,2,10,7,0
1,54,60,3,4.0,0,0,2,9,7,1
0,33,75,3,0.0,0,0,2,7,7,1
1,1,30,2,50.0,0,0,2,3,7,1
0,1,30,2,0.0,1,0,2,4,7,0
0,4,30,1,83.33,0,0,1,1,4,0
0,4,30,1,83.33,0,0,1,1,4,0
0,2,0,2,0.0,0,1,1,8,7,0
1,5,120,1,42.86,0,0,1,5,0,1
1,105,120,1,0.0,0,0,1,3,0,0
0,1,60,3,4.17,0,0,2,6,7,0
1,14,30,1,0.0,0,0,1,3,0,0
0,0,90,1,4.86,0,0,2,3,0,0
1,17,30,2,25.0,0,0,1,9,2,0
1,69,75,2,10.71,0,0,2,6,5,1
1,68,60,1,5.68,0,0,1,3,4,0
0,1,60,2,25.0,0,0,1,2,7,0
1,7,30,2,0.0,0,0,1,6,7,0
1,19,60,2,19.5,0,0,0,10,4,1
1,84,60,2,0.0,0,0,0,9,4,0
0,28,30,1,0.0,0,0,1,3,5,0
